exercise_name,session_exercises,user_text,event_type,severity
Calf Raise,Squat; Calf Raise; Leg Extension; Dumbbell Fly; Romanian Deadlift; Face Pull; Lunge,"Felt good today, no issues.",none,na
Dumbbell Curl,Lat Pulldown; Leg Press; Dumbbell Curl; Overhead Press; Incline Bench Press; Bench Press,gym was packed so I couldn't do leg press!,none,na
Leg Extension,Dumbbell Fly; Deadlift; Leg Extension; Incline Bench Press; Calf Raise,machine was taken so I couldn't do leg extension!,equipment,medium
Hip Thrust,Triceps Pushdown; Leg Extension; Dumbbell Fly; Bench Press; Romanian Deadlift; Squat; Hip Thrust,Note: felt gassed today.,none,na
Leg Press,Bench Press; Face Pull; Dumbbell Fly; Lateral Raise; Leg Press; Hamstring Curl; Lat Pulldown; Dumbbell Curl,fly had sharp pain in my neck. short on time so I cut lat pull-down.,none,na
Pull-Up,Lunge; Squat; Pull-Up; Dumbbell Fly; Calf Raise; Incline Bench Press; Leg Press; Dumbbell Curl,calf raise and dumbbell curl felt easy could add weight next time! split squat couldn't finish.,none,na
Incline Bench Press,Barbell Row; Pull-Up; Incline Bench Press; Leg Extension; Dumbbell Curl; Hamstring Curl; Lateral Raise,BTW couldn't get a bench so I couldn't do quad extension!,none,na
Incline Bench Press,Incline Bench Press; Squat; Overhead Press; Hamstring Curl; Calf Raise,stressful day today!,none,na
Lateral Raise,Hip Thrust; Dumbbell Curl; Lateral Raise; Calf Raise; Lat Pulldown; Lunge; Triceps Pushdown; Pull-Up,Note: chinup was too light next time add weight. ran out of time so I cut lateral raise.,time,high
Hip Thrust,Hip Thrust; Lateral Raise; Overhead Press; Hamstring Curl; Leg Extension,side raise and military press felt too easy could add weight next time.,none,na
Romanian Deadlift,Hamstring Curl; Dumbbell Curl; Lunge; Romanian Deadlift; Hip Thrust,BTW time crunch so I cut glute bridge! Overall ok.,none,na
Face Pull,Dumbbell Curl; Overhead Press; Face Pull; Deadlift; Barbell Row; Leg Press; Hip Thrust; Bench Press,on bb row my couldn't keep balance.,none,na
Lunge,Lunge; Leg Extension; Face Pull; Hamstring Curl; Lat Pulldown,leg extension too easy next time add weight. lat pull-down couldn't finish.,none,na
Barbell Row,Bench Press; Dumbbell Fly; Barbell Row; Incline Bench Press; Romanian Deadlift; Squat,db fly had aching in my shoulder. felt gassed today!,none,na
Leg Extension,Lateral Raise; Hip Thrust; Overhead Press; Lat Pulldown; Hamstring Curl; Leg Extension; Calf Raise; Dumbbell Curl,pulldown had sharp pain in my elbow! time crunch so I cut hamstring curl.,none,na
Triceps Pushdown,Squat; Barbell Row; Overhead Press; Leg Press; Lat Pulldown; Face Pull; Triceps Pushdown; Dumbbell Fly,dumbbell fly and face pull felt too easy could add weight next time. Need more rest.,none,na
Triceps Pushdown,Lateral Raise; Overhead Press; Triceps Pushdown; Hip Thrust; Calf Raise,Note: on glute bridge my knees caved! overhead press missed reps!,none,na
Lateral Raise,Squat; Lateral Raise; Deadlift; Dumbbell Fly; Triceps Pushdown; Barbell Row; Lat Pulldown; Lunge,pulldown had hurt in my elbow. Overall ok.,none,na
Bench Press,Lat Pulldown; Pull-Up; Overhead Press; Bench Press; Barbell Row; Leg Extension; Leg Press; Hamstring Curl,BTW on overhead press my technique felt off!,none,na
Incline Bench Press,Face Pull; Bench Press; Dumbbell Curl; Romanian Deadlift; Triceps Pushdown; Incline Bench Press; Lateral Raise,"Also, couldn't finish accessories so I cut face pull.",none,na
Barbell Row,Overhead Press; Barbell Row; Romanian Deadlift; Pull-Up; Triceps Pushdown; Leg Press; Face Pull,romanian deadlift smoked me! not recovered today. pullup could go heavier!,none,na
Hip Thrust,Dumbbell Fly; Squat; Incline Bench Press; Hip Thrust; Face Pull; Lateral Raise,Everything went fine.,none,na
Face Pull,Bench Press; Dumbbell Curl; Face Pull; Hip Thrust; Triceps Pushdown,rear delt and dumbbell curl felt easy could add weight next time! pushdown felt easy next time add weight.,too_light,low
Hip Thrust,Leg Press; Hip Thrust; Triceps Pushdown; Squat; Face Pull; Lateral Raise; Incline Bench Press,incline bench could go heavier! Overall ok.,none,na
Leg Extension,Hip Thrust; Lateral Raise; Overhead Press; Hamstring Curl; Leg Extension,side raise and military press felt too easy could add weight next time.,none,na
Leg Extension,Squat; Barbell Row; Bench Press; Leg Press; Dumbbell Fly; Romanian Deadlift; Triceps Pushdown; Leg Extension,press had to stop early! romanian deadlift failed last set.,none,na
Leg Press,Hamstring Curl; Calf Raise; Lat Pulldown; Squat; Lateral Raise; Face Pull; Romanian Deadlift; Leg Press,Solid session.,none,na
Leg Extension,Romanian Deadlift; Calf Raise; Barbell Row; Leg Extension; Triceps Pushdown,leg extension and calves were super heavy and I couldnt finish all reps.,too_heavy,medium
Pull-Up,Deadlift; Pull-Up; Lunge; Calf Raise; Triceps Pushdown; Squat; Hamstring Curl,All good.,none,na
Overhead Press,Bench Press; Dumbbell Curl; Overhead Press; Barbell Row; Dumbbell Fly,fly had felt tight in my elbow.,none,na
Hip Thrust,Deadlift; Bench Press; Triceps Pushdown; Barbell Row; Dumbbell Curl; Hip Thrust; Squat,BTW db curl had 4 reps in reserve could increase load.,none,na
Squat,Squat; Leg Press; Lateral Raise; Calf Raise; Face Pull,not recovered today.,none,na
Leg Press,Hip Thrust; Face Pull; Hamstring Curl; Bench Press; Deadlift; Lateral Raise; Pull-Up; Leg Press,BTW hamstring curl and pull were too heavy!,none,na
Dumbbell Curl,Lat Pulldown; Leg Extension; Deadlift; Bench Press; Lateral Raise; Dumbbell Curl,no cables available so I couldn't do pull.,none,na
Incline Bench Press,Deadlift; Leg Extension; Lunge; Incline Bench Press; Pull-Up; Leg Press; Lat Pulldown; Squat,Note: dl couldn't finish! ngl,none,na
Hip Thrust,Hamstring Curl; Dumbbell Fly; Romanian Deadlift; Lunge; Deadlift; Hip Thrust; Calf Raise,on dl my lost tightness. lunge had hurt in my ankle!,none,na
Bench Press,Deadlift; Dumbbell Fly; Face Pull; Calf Raise; Romanian Deadlift; Bench Press; Dumbbell Curl; Lunge,Note: short on time so I cut split squat.,none,na
Romanian Deadlift,Dumbbell Curl; Barbell Row; Pull-Up; Lat Pulldown; Lunge; Face Pull; Romanian Deadlift,"Felt good today, no issues.",none,na
Dumbbell Curl,Dumbbell Fly; Incline Bench Press; Lateral Raise; Dumbbell Curl; Calf Raise; Deadlift; Romanian Deadlift,All good.,none,na
Face Pull,Deadlift; Face Pull; Dumbbell Curl; Lunge; Calf Raise; Bench Press,calf raise smoked me. Overall ok.,none,na
Triceps Pushdown,Leg Press; Triceps Pushdown; Dumbbell Curl; Lateral Raise; Leg Extension; Hip Thrust,"hip thrust, quad extension, and leg press were brutal and I couldn't finish all reps!",none,na
Barbell Row,Dumbbell Curl; Dumbbell Fly; Hip Thrust; Lunge; Triceps Pushdown; Barbell Row; Bench Press; Calf Raise,on hip thrust my couldn't keep balance. Need more rest.,none,na
Barbell Row,Bench Press; Calf Raise; Barbell Row; Lat Pulldown; Face Pull,on row my couldn't keep balance!,form,medium
Barbell Row,Barbell Row; Overhead Press; Leg Press; Leg Extension; Bench Press; Lunge; Dumbbell Fly; Romanian Deadlift,"Also, split squat couldn't finish.",none,na
Lat Pulldown,Barbell Row; Lat Pulldown; Face Pull; Overhead Press; Hip Thrust,All good.,none,na
Pull-Up,Dumbbell Fly; Hip Thrust; Lunge; Deadlift; Barbell Row; Incline Bench Press; Pull-Up,on incline bench my knees caved!,none,na
Romanian Deadlift,Hip Thrust; Overhead Press; Incline Bench Press; Romanian Deadlift; Lat Pulldown,"Felt good today, no issues.",none,na
Lateral Raise,Lunge; Lat Pulldown; Incline Bench Press; Pull-Up; Lateral Raise; Deadlift; Squat; Face Pull,deadlift too easy could increase load! lat pulldown failed last set.,none,na
Calf Raise,Overhead Press; Dumbbell Curl; Squat; Calf Raise; Barbell Row; Triceps Pushdown,on bb row my back rounded.,none,na
Leg Extension,Romanian Deadlift; Hamstring Curl; Overhead Press; Leg Press; Leg Extension; Triceps Pushdown; Lateral Raise; Dumbbell Curl,time crunch so I cut curl. press had pain in my ankle.,none,na
Pull-Up,Hip Thrust; Squat; Pull-Up; Romanian Deadlift; Leg Extension; Lunge,All good.,none,na
Hip Thrust,Squat; Barbell Row; Hip Thrust; Dumbbell Curl; Leg Press; Romanian Deadlift,biceps curl too easy could increase load!,none,na
Lat Pulldown,Pull-Up; Deadlift; Triceps Pushdown; Dumbbell Curl; Squat; Lat Pulldown; Calf Raise; Bench Press,"Also, squat could go heavier. pulldown felt like warmup next time add weight.",too_light,low
Squat,Squat; Bench Press; Pull-Up; Barbell Row; Hip Thrust; Dumbbell Fly; Lateral Raise; Romanian Deadlift,pull-up and back squat felt light could add weight next time!,too_light,high
Squat,Leg Extension; Barbell Row; Dumbbell Fly; Triceps Pushdown; Overhead Press; Lat Pulldown; Squat; Dumbbell Curl,Everything went fine.,none,na
Lat Pulldown,Lat Pulldown; Romanian Deadlift; Calf Raise; Lateral Raise; Face Pull; Incline Bench Press; Leg Extension; Dumbbell Curl,on incline bnech my knees caved! lat pulldown absolutely brutal and I missed reps.,too_heavy,medium
Hip Thrust,Deadlift; Hamstring Curl; Pull-Up; Barbell Row; Dumbbell Curl; Face Pull; Hip Thrust,time crunch so I cut dumbbell curl.,none,na
Bench Press,Calf Raise; Triceps Pushdown; Incline Bench Press; Bench Press; Hamstring Curl; Lunge; Dumbbell Curl; Pull-Up,tricep pushdown and benchpress were brutal. Need more rest.,too_heavy,medium
Lateral Raise,Hip Thrust; Pull-Up; Leg Extension; Triceps Pushdown; Lateral Raise; Dumbbell Fly; Barbell Row; Deadlift,rack was occupied so I couldn't do pushdown. bad sleep today. deadlift missed reps.,none,na
Incline Bench Press,Romanian Deadlift; Incline Bench Press; Leg Extension; Squat; Hamstring Curl,"Felt good today, no issues. ngl",none,na
Dumbbell Curl,Triceps Pushdown; Dumbbell Curl; Lateral Raise; Lunge; Deadlift,on deadlift my back rounded. Overall ok.,none,na
Bench Press,Calf Raise; Bench Press; Face Pull; Dumbbell Curl; Pull-Up; Lat Pulldown,Note: calves too easy!,none,na
Deadlift,Face Pull; Deadlift; Hamstring Curl; Dumbbell Curl; Barbell Row,on dumbbell curl my technique felt off. Need more rest.,none,na
Romanian Deadlift,Squat; Calf Raise; Romanian Deadlift; Lateral Raise; Dumbbell Fly,BTW calf raise had felt tight in my lower back! couldn't get a bench so I couldn't do lateral raise.,none,na
Hamstring Curl,Dumbbell Fly; Incline Bench Press; Deadlift; Lateral Raise; Triceps Pushdown; Squat; Barbell Row; Hamstring Curl,BTW hamstring curl had 4 reps in reserve. squat had pain in my knee!,too_light,low
Dumbbell Curl,Incline Bench Press; Leg Extension; Triceps Pushdown; Calf Raise; Hamstring Curl; Dumbbell Curl; Lunge,curl smoked me and I failed the last rep.,too_heavy,high
Dumbbell Fly,Dumbbell Curl; Incline Bench Press; Leg Extension; Bench Press; Hamstring Curl; Dumbbell Fly; Romanian Deadlift; Leg Press,incline press had felt tight in my wrist.,none,na
Incline Bench Press,Incline Bench Press; Face Pull; Calf Raise; Leg Extension; Barbell Row; Lunge; Lateral Raise,BTW on calves my lost tightness. Need more rest.,none,na
Pull-Up,Pull-Up; Incline Bench Press; Squat; Dumbbell Fly; Dumbbell Curl,"Felt good today, no issues.",none,na
Face Pull,Bench Press; Lunge; Hip Thrust; Face Pull; Hamstring Curl; Overhead Press,glute bridge had tweak in my lower back! couldn't finish accessories so I cut split squat.,none,na
Hamstring Curl,Calf Raise; Romanian Deadlift; Hamstring Curl; Overhead Press; Leg Extension; Pull-Up; Barbell Row; Lateral Raise,"Also, not recovered today!",none,na
Barbell Row,Deadlift; Bench Press; Dumbbell Fly; Barbell Row; Hamstring Curl; Overhead Press,Everything went fine.,none,na
Lunge,Deadlift; Calf Raise; Romanian Deadlift; Dumbbell Curl; Lunge,"Also, couldn't finish accessories so I cut romanian deadlift. pull couldn't finish.",none,na
Face Pull,Leg Press; Bench Press; Hip Thrust; Face Pull; Triceps Pushdown; Calf Raise,rack was occupied so I couldn't do bp! Will adjust next time.,none,na
Calf Raise,Lateral Raise; Dumbbell Fly; Hamstring Curl; Deadlift; Leg Press; Calf Raise; Pull-Up; Hip Thrust,no cables available so I couldn't do hamstring curl!,none,na
Dumbbell Fly,Incline Bench Press; Dumbbell Fly; Bench Press; Squat; Barbell Row,bsq could go heavier could increase load. incline bench had sharp pain in my knee!,none,na
Squat,Triceps Pushdown; Leg Extension; Dumbbell Fly; Bench Press; Romanian Deadlift; Squat; Hip Thrust,Note: felt gassed today.,none,na
Triceps Pushdown,Bench Press; Dumbbell Curl; Face Pull; Hip Thrust; Triceps Pushdown,rear delt and dumbbell curl felt easy could add weight next time! pushdown felt easy next time add weight.,too_light,medium
Dumbbell Fly,Calf Raise; Squat; Lat Pulldown; Pull-Up; Barbell Row; Dumbbell Fly,time crunch so I cut fly.,time,low
Lat Pulldown,Triceps Pushdown; Lat Pulldown; Romanian Deadlift; Face Pull; Incline Bench Press; Pull-Up; Leg Extension,on lat pull-down my technique felt off!,form,low
Lateral Raise,Squat; Lateral Raise; Leg Press; Hip Thrust; Overhead Press; Lat Pulldown; Calf Raise; Bench Press,"Also, press could go heavier next time add weight.",none,na
Barbell Row,Romanian Deadlift; Deadlift; Squat; Barbell Row; Incline Bench Press; Lunge; Face Pull,barbell row smoked me. stressful day today! rear delt was too light next time add weight. Overall ok.,too_heavy,low
Hamstring Curl,Dumbbell Fly; Hamstring Curl; Incline Bench Press; Pull-Up; Calf Raise,felt low energy today. ngl,none,na
Hip Thrust,Lateral Raise; Dumbbell Fly; Romanian Deadlift; Hip Thrust; Deadlift,not recovered today.,other,low
Leg Press,Dumbbell Fly; Pull-Up; Deadlift; Incline Bench Press; Face Pull; Romanian Deadlift; Leg Press; Hip Thrust,time crunch so I cut glute bridge! face pull failed last set.,none,na
Face Pull,Calf Raise; Bench Press; Face Pull; Dumbbell Curl; Pull-Up; Lat Pulldown,Note: calves too easy!,none,na
Incline Bench Press,Incline Bench Press; Dumbbell Curl; Dumbbell Fly; Hamstring Curl; Leg Extension; Leg Press,"incline bench, quad extension, and leg curl felt light!",too_light,medium
Overhead Press,Barbell Row; Squat; Dumbbell Fly; Lunge; Overhead Press; Deadlift,on overhead press my form broke down.,form,low
Overhead Press,Lateral Raise; Overhead Press; Lunge; Squat; Deadlift; Hip Thrust; Dumbbell Fly; Leg Press,Note: time crunch so I cut split squat. felt low energy today!,none,na
Barbell Row,Squat; Incline Bench Press; Barbell Row; Leg Extension; Face Pull; Overhead Press; Lateral Raise,Everything went fine.,none,na
Hamstring Curl,Dumbbell Fly; Leg Extension; Overhead Press; Bench Press; Hamstring Curl; Face Pull,shoulder press had 4 reps in reserve could increase load. rear delt had tweak in my knee.,none,na
